run_id,iteration,geology_config_id,geology_name,snapshot_id,case_name,pred_total_energy,actual_total_energy,abs_err_total_energy,pred_discounted_revenue,actual_discounted_revenue,abs_err_discounted_revenue
0,0,74,v2.5_0111,run0000_iter0000,v2.5_gradient_patched_74_run0000_iter0000,184364491079680.0,190536040316928.0,6171549237248.0,434505984.0,449350336.0,14844352.0
0,0,76,v2.5_1203,run0000_iter0000,v2.5_gradient_patched_76_run0000_iter0000,184944026451968.0,189081657016320.0,4137630564352.0,439662624.0,442712832.0,3050208.0
0,0,73,v2.5_1428,run0000_iter0000,v2.5_gradient_patched_73_run0000_iter0000,175336956362752.0,185606273499136.0,10269317136384.0,423592384.0,433402016.0,9809632.0
1,0,74,v2.5_0111,run0001_iter0000,v2.5_gradient_patched_74_run0001_iter0000,165324246745088.0,163790926643200.0,1533320101888.0,410100608.0,361398528.0,48702080.0
1,0,76,v2.5_1203,run0001_iter0000,v2.5_gradient_patched_76_run0001_iter0000,176523239751680.0,172527091449856.0,3996148301824.0,448897184.0,375371872.0,73525312.0
1,0,73,v2.5_1428,run0001_iter0000,v2.5_gradient_patched_73_run0001_iter0000,173057939341312.0,172105362571264.0,952576770048.0,452015872.0,371351744.0,80664128.0
0,25,74,v2.5_0111,run0000_iter0025,v2.5_gradient_patched_74_run0000_iter0025,184575733006336.0,185444188815360.0,868455809024.0,450460096.0,436754592.0,13705504.0
0,25,76,v2.5_1203,run0000_iter0025,v2.5_gradient_patched_76_run0000_iter0025,187526895632384.0,184992764264448.0,2534131367936.0,457134752.0,435065568.0,22069184.0
0,25,73,v2.5_1428,run0000_iter0025,v2.5_gradient_patched_73_run0000_iter0025,176967332659200.0,183690265100288.0,6722932441088.0,457338048.0,429079456.0,28258592.0
1,25,74,v2.5_0111,run0001_iter0025,v2.5_gradient_patched_74_run0001_iter0025,166152990883840.0,173968422076416.0,7815431192576.0,447116576.0,377399008.0,69717568.0
1,25,76,v2.5_1203,run0001_iter0025,v2.5_gradient_patched_76_run0001_iter0025,178596182228992.0,174678853287936.0,3917328941056.0,469167552.0,378578688.0,90588864.0
1,25,73,v2.5_1428,run0001_iter0025,v2.5_gradient_patched_73_run0001_iter0025,172135611891712.0,175975463649280.0,3839851757568.0,462548288.0,376784384.0,85763904.0
0,50,74,v2.5_0111,run0000_iter0050,v2.5_gradient_patched_74_run0000_iter0050,183423926796288.0,189399283269632.0,5975356473344.0,459478560.0,453194592.0,6283968.0
0,50,76,v2.5_1203,run0000_iter0050,v2.5_gradient_patched_76_run0000_iter0050,187659955732480.0,183894007611392.0,3765948121088.0,461205696.0,433639712.0,27565984.0
0,50,73,v2.5_1428,run0000_iter0050,v2.5_gradient_patched_73_run0000_iter0050,176461801586688.0,186860068405248.0,10398266818560.0,463089248.0,446662784.0,16426464.0
1,50,74,v2.5_0111,run0001_iter0050,v2.5_gradient_patched_74_run0001_iter0050,165187680206848.0,163724841189376.0,1462839017472.0,448958560.0,373610880.0,75347680.0
1,50,76,v2.5_1203,run0001_iter0050,v2.5_gradient_patched_76_run0001_iter0050,178691225157632.0,174533914918912.0,4157310238720.0,471452256.0,390207072.0,81245184.0
1,50,73,v2.5_1428,run0001_iter0050,v2.5_gradient_patched_73_run0001_iter0050,172318315773952.0,168036199825408.0,4282115948544.0,467720448.0,371227680.0,96492768.0
0,75,74,v2.5_0111,run0000_iter0075,v2.5_gradient_patched_74_run0000_iter0075,182821708627968.0,199554867658752.0,16733159030784.0,462500800.0,488118880.0,25618080.0
0,75,76,v2.5_1203,run0000_iter0075,v2.5_gradient_patched_76_run0000_iter0075,187717266702336.0,189986938814464.0,2269672112128.0,460357696.0,447266752.0,13090944.0
0,75,73,v2.5_1428,run0000_iter0075,v2.5_gradient_patched_73_run0000_iter0075,176196134371328.0,193457356275712.0,17261221904384.0,466773568.0,463942272.0,2831296.0
1,75,74,v2.5_0111,run0001_iter0075,v2.5_gradient_patched_74_run0001_iter0075,164955349319680.0,172005856903168.0,7050507583488.0,449762560.0,412208384.0,37554176.0
1,75,76,v2.5_1203,run0001_iter0075,v2.5_gradient_patched_76_run0001_iter0075,178644081180672.0,177447580467200.0,1196500713472.0,473644512.0,411143872.0,62500640.0
1,75,73,v2.5_1428,run0001_iter0075,v2.5_gradient_patched_73_run0001_iter0075,173053308829696.0,173782715072512.0,729406242816.0,469971584.0,417293120.0,52678464.0
0,100,74,v2.5_0111,run0000_iter0100,v2.5_gradient_patched_74_run0000_iter0100,182017543110656.0,201180244344832.0,19162701234176.0,464706048.0,498005536.0,33299488.0
0,100,76,v2.5_1203,run0000_iter0100,v2.5_gradient_patched_76_run0000_iter0100,187699298304000.0,190534010273792.0,2834711969792.0,459143488.0,452455232.0,6688256.0
0,100,73,v2.5_1428,run0000_iter0100,v2.5_gradient_patched_73_run0000_iter0100,175775898664960.0,199975371800576.0,24199473135616.0,469472384.0,494716352.0,25243968.0
1,100,74,v2.5_0111,run0001_iter0100,v2.5_gradient_patched_74_run0001_iter0100,165434875707392.0,170600496627712.0,5165620920320.0,450265568.0,407937760.0,42327808.0
1,100,76,v2.5_1203,run0001_iter0100,v2.5_gradient_patched_76_run0001_iter0100,179291060961280.0,183026793316352.0,3735732355072.0,474501568.0,438066688.0,36434880.0
1,100,73,v2.5_1428,run0001_iter0100,v2.5_gradient_patched_73_run0001_iter0100,174114736177152.0,176775132872704.0,2660396695552.0,470789376.0,415657440.0,55131936.0
0,125,74,v2.5_0111,run0000_iter0125,v2.5_gradient_patched_74_run0000_iter0125,181847606689792.0,196830331666432.0,14982724976640.0,466157568.0,486010272.0,19852704.0
0,125,76,v2.5_1203,run0000_iter0125,v2.5_gradient_patched_76_run0000_iter0125,187900541009920.0,190760871788544.0,2860330778624.0,459402688.0,451718496.0,7684192.0
0,125,73,v2.5_1428,run0000_iter0125,v2.5_gradient_patched_73_run0000_iter0125,175501725401088.0,201648865542144.0,26147140141056.0,470416096.0,497816416.0,27400320.0
1,125,74,v2.5_0111,run0001_iter0125,v2.5_gradient_patched_74_run0001_iter0125,165948073967616.0,150557545201664.0,15390528765952.0,450942880.0,352739840.0,98203040.0
1,125,76,v2.5_1203,run0001_iter0125,v2.5_gradient_patched_76_run0001_iter0125,180193423523840.0,142785080459264.0,37408343064576.0,474977344.0,328605568.0,146371776.0
1,125,73,v2.5_1428,run0001_iter0125,v2.5_gradient_patched_73_run0001_iter0125,174773409677312.0,150121153036288.0,24652256641024.0,470697024.0,344537632.0,126159392.0
0,150,74,v2.5_0111,run0000_iter0150,v2.5_gradient_patched_74_run0000_iter0150,181568836468736.0,196606389387264.0,15037552918528.0,466841600.0,479521568.0,12679968.0
0,150,76,v2.5_1203,run0000_iter0150,v2.5_gradient_patched_76_run0000_iter0150,188132519575552.0,186547391430656.0,1585128144896.0,458886976.0,433521632.0,25365344.0
0,150,73,v2.5_1428,run0000_iter0150,v2.5_gradient_patched_73_run0000_iter0150,175196027748352.0,198885070864384.0,23689043116032.0,471002976.0,486802144.0,15799168.0
1,150,74,v2.5_0111,run0001_iter0150,v2.5_gradient_patched_74_run0001_iter0150,166762523918336.0,157389730873344.0,9372793044992.0,450396352.0,385570304.0,64826048.0
1,150,76,v2.5_1203,run0001_iter0150,v2.5_gradient_patched_76_run0001_iter0150,180727341645824.0,146107489320960.0,34619852324864.0,475129984.0,344733568.0,130396416.0
1,150,73,v2.5_1428,run0001_iter0150,v2.5_gradient_patched_73_run0001_iter0150,175227048820736.0,157746112495616.0,17480936325120.0,472735872.0,379155904.0,93579968.0
0,175,74,v2.5_0111,run0000_iter0175,v2.5_gradient_patched_74_run0000_iter0175,181609152118784.0,190230611099648.0,8621458980864.0,467500800.0,459208800.0,8292000.0
0,175,76,v2.5_1203,run0000_iter0175,v2.5_gradient_patched_76_run0000_iter0175,188093747429376.0,180820522303488.0,7273225125888.0,458741056.0,405336960.0,53404096.0
0,175,73,v2.5_1428,run0000_iter0175,v2.5_gradient_patched_73_run0000_iter0175,175147709366272.0,192743133413376.0,17595424047104.0,471096768.0,456950208.0,14146560.0
1,175,74,v2.5_0111,run0001_iter0175,v2.5_gradient_patched_74_run0001_iter0175,166993596514304.0,159244619874304.0,7748976640000.0,451507584.0,389396288.0,62111296.0
1,175,76,v2.5_1203,run0001_iter0175,v2.5_gradient_patched_76_run0001_iter0175,180893469638656.0,147970934702080.0,32922534936576.0,475757632.0,351574240.0,124183392.0
1,175,73,v2.5_1428,run0001_iter0175,v2.5_gradient_patched_73_run0001_iter0175,175303234158592.0,152364954681344.0,22938279477248.0,473055936.0,367655040.0,105400896.0
0,200,74,v2.5_0111,run0000_iter0200,v2.5_gradient_patched_74_run0000_iter0200,182159394471936.0,184893107601408.0,2733713129472.0,468382720.0,418202880.0,50179840.0
0,200,76,v2.5_1203,run0000_iter0200,v2.5_gradient_patched_76_run0000_iter0200,187987983859712.0,174927156084736.0,13060827774976.0,459052672.0,375225056.0,83827616.0
0,200,73,v2.5_1428,run0000_iter0200,v2.5_gradient_patched_73_run0000_iter0200,175603126894592.0,185094820069376.0,9491693174784.0,470428512.0,418020256.0,52408256.0
1,200,74,v2.5_0111,run0001_iter0200,v2.5_gradient_patched_74_run0001_iter0200,166994955468800.0,174530559475712.0,7535604006912.0,456057152.0,420952544.0,35104608.0
1,200,76,v2.5_1203,run0001_iter0200,v2.5_gradient_patched_76_run0001_iter0200,180776532443136.0,181268926955520.0,492394512384.0,476212160.0,440302912.0,35909248.0
1,200,73,v2.5_1428,run0001_iter0200,v2.5_gradient_patched_73_run0001_iter0200,175845893210112.0,171602834620416.0,4243058589696.0,473507936.0,405676000.0,67831936.0
2,0,74,v2.5_0111,run0002_iter0000,v2.5_gradient_patched_74_run0002_iter0000,181971204440064.0,174991328935936.0,6979875504128.0,423640256.0,397697216.0,25943040.0
2,0,76,v2.5_1203,run0002_iter0000,v2.5_gradient_patched_76_run0002_iter0000,186239630180352.0,173391352954880.0,12848277225472.0,412969952.0,392078688.0,20891264.0
2,0,73,v2.5_1428,run0002_iter0000,v2.5_gradient_patched_73_run0002_iter0000,181353970663424.0,170421030748160.0,10932939915264.0,410093504.0,382111264.0,27982240.0
3,0,74,v2.5_0111,run0003_iter0000,v2.5_gradient_patched_74_run0003_iter0000,174347419385856.0,170713692504064.0,3633726881792.0,410132608.0,378485184.0,31647424.0
3,0,76,v2.5_1203,run0003_iter0000,v2.5_gradient_patched_76_run0003_iter0000,181040807149568.0,171123392118784.0,9917415030784.0,418190176.0,384636160.0,33554016.0
3,0,73,v2.5_1428,run0003_iter0000,v2.5_gradient_patched_73_run0003_iter0000,176233480454144.0,171042660155392.0,5190820298752.0,395201312.0,384265440.0,10935872.0
2,25,74,v2.5_0111,run0002_iter0025,v2.5_gradient_patched_74_run0002_iter0025,185040780656640.0,199990169305088.0,14949388648448.0,449007776.0,491210208.0,42202432.0
2,25,76,v2.5_1203,run0002_iter0025,v2.5_gradient_patched_76_run0002_iter0025,191729823121408.0,196913697652736.0,5183874531328.0,449527360.0,478896992.0,29369632.0
2,25,73,v2.5_1428,run0002_iter0025,v2.5_gradient_patched_73_run0002_iter0025,183403274043392.0,196101328076800.0,12698054033408.0,452332448.0,476435488.0,24103040.0
3,25,74,v2.5_0111,run0003_iter0025,v2.5_gradient_patched_74_run0003_iter0025,179362347352064.0,174624377667584.0,4737969684480.0,448694144.0,390022976.0,58671168.0
3,25,76,v2.5_1203,run0003_iter0025,v2.5_gradient_patched_76_run0003_iter0025,186482128060416.0,173358033403904.0,13124094656512.0,462401344.0,375685824.0,86715520.0
3,25,73,v2.5_1428,run0003_iter0025,v2.5_gradient_patched_73_run0003_iter0025,177511182893056.0,175485820600320.0,2025362292736.0,420221056.0,390863968.0,29357088.0
2,50,74,v2.5_0111,run0002_iter0050,v2.5_gradient_patched_74_run0002_iter0050,183822368899072.0,179073275920384.0,4749092978688.0,452177696.0,452558720.0,381024.0
2,50,76,v2.5_1203,run0002_iter0050,v2.5_gradient_patched_76_run0002_iter0050,191851021729792.0,180219059109888.0,11631962619904.0,455713920.0,446972800.0,8741120.0
2,50,73,v2.5_1428,run0002_iter0050,v2.5_gradient_patched_73_run0002_iter0050,182300239200256.0,180800205094912.0,1500034105344.0,459486016.0,450981696.0,8504320.0
3,50,74,v2.5_0111,run0003_iter0050,v2.5_gradient_patched_74_run0003_iter0050,176427458625536.0,175814201049088.0,613257576448.0,455006528.0,419722080.0,35284448.0
3,50,76,v2.5_1203,run0003_iter0050,v2.5_gradient_patched_76_run0003_iter0050,184718624555008.0,180853791522816.0,3864833032192.0,465281088.0,407930944.0,57350144.0
3,50,73,v2.5_1428,run0003_iter0050,v2.5_gradient_patched_73_run0003_iter0050,173553722851328.0,181767881359360.0,8214158508032.0,428754944.0,432275232.0,3520288.0
2,75,74,v2.5_0111,run0002_iter0075,v2.5_gradient_patched_74_run0002_iter0075,182572919291904.0,196997516623872.0,14424597331968.0,459182400.0,484810496.0,25628096.0
2,75,76,v2.5_1203,run0002_iter0075,v2.5_gradient_patched_76_run0002_iter0075,190077938434048.0,194834933481472.0,4756995047424.0,457640416.0,477114752.0,19474336.0
2,75,73,v2.5_1428,run0002_iter0075,v2.5_gradient_patched_73_run0002_iter0075,180691186745344.0,195819873501184.0,15128686755840.0,463305856.0,481035168.0,17729312.0
3,75,74,v2.5_0111,run0003_iter0075,v2.5_gradient_patched_74_run0003_iter0075,174749921574912.0,174047627313152.0,702294261760.0,459776960.0,426019104.0,33757856.0
3,75,76,v2.5_1203,run0003_iter0075,v2.5_gradient_patched_76_run0003_iter0075,183802253017088.0,181304729534464.0,2497523482624.0,467189568.0,404602464.0,62587104.0
3,75,73,v2.5_1428,run0003_iter0075,v2.5_gradient_patched_73_run0003_iter0075,171141964496896.0,181791470125056.0,10649505628160.0,436687648.0,428825664.0,7861984.0
2,100,74,v2.5_0111,run0002_iter0100,v2.5_gradient_patched_74_run0002_iter0100,182499753852928.0,196603201716224.0,14103447863296.0,461730304.0,486302560.0,24572256.0
2,100,76,v2.5_1203,run0002_iter0100,v2.5_gradient_patched_76_run0002_iter0100,189737797156864.0,196933343772672.0,7195546615808.0,457974368.0,489075104.0,31100736.0
2,100,73,v2.5_1428,run0002_iter0100,v2.5_gradient_patched_73_run0002_iter0100,181278942953472.0,195055738421248.0,13776795467776.0,465576576.0,480889376.0,15312800.0
3,100,74,v2.5_0111,run0003_iter0100,v2.5_gradient_patched_74_run0003_iter0100,173271412637696.0,171991277502464.0,1280135135232.0,463820960.0,372232672.0,91588288.0
3,100,76,v2.5_1203,run0003_iter0100,v2.5_gradient_patched_76_run0003_iter0100,182826943119360.0,176306276794368.0,6520666324992.0,470661440.0,391834176.0,78827264.0
3,100,73,v2.5_1428,run0003_iter0100,v2.5_gradient_patched_73_run0003_iter0100,169463068491776.0,174985591128064.0,5522522636288.0,444458848.0,403420640.0,41038208.0
2,125,74,v2.5_0111,run0002_iter0125,v2.5_gradient_patched_74_run0002_iter0125,182331595816960.0,192774003490816.0,10442407673856.0,463944320.0,471556064.0,7611744.0
2,125,76,v2.5_1203,run0002_iter0125,v2.5_gradient_patched_76_run0002_iter0125,190005058207744.0,191564416548864.0,1559358341120.0,458662560.0,468020512.0,9357952.0
2,125,73,v2.5_1428,run0002_iter0125,v2.5_gradient_patched_73_run0002_iter0125,181541137285120.0,190183249018880.0,8642111733760.0,467647456.0,463350976.0,4296480.0
3,125,74,v2.5_0111,run0003_iter0125,v2.5_gradient_patched_74_run0003_iter0125,172473488244736.0,146543931817984.0,25929556426752.0,467255840.0,314306240.0,152949600.0
3,125,76,v2.5_1203,run0003_iter0125,v2.5_gradient_patched_76_run0003_iter0125,181827608248320.0,156154760003584.0,25672848244736.0,471585600.0,339284896.0,132300704.0
3,125,73,v2.5_1428,run0003_iter0125,v2.5_gradient_patched_73_run0003_iter0125,168976160129024.0,155325747429376.0,13650412699648.0,445750112.0,338927296.0,106822816.0
2,150,74,v2.5_0111,run0002_iter0150,v2.5_gradient_patched_74_run0002_iter0150,181972227850240.0,185272289460224.0,3300061609984.0,465529024.0,436922208.0,28606816.0
2,150,76,v2.5_1203,run0002_iter0150,v2.5_gradient_patched_76_run0002_iter0150,190581691121664.0,182900628652032.0,7681062469632.0,460229408.0,429330368.0,30899040.0
2,150,73,v2.5_1428,run0002_iter0150,v2.5_gradient_patched_73_run0002_iter0150,181992813494272.0,182997433188352.0,1004619694080.0,469408192.0,429786272.0,39621920.0
3,150,74,v2.5_0111,run0003_iter0150,v2.5_gradient_patched_74_run0003_iter0150,172032465567744.0,150330851459072.0,21701614108672.0,469051392.0,320350080.0,148701312.0
3,150,76,v2.5_1203,run0003_iter0150,v2.5_gradient_patched_76_run0003_iter0150,181769508749312.0,165239890903040.0,16529617846272.0,471595328.0,359938784.0,111656544.0
3,150,73,v2.5_1428,run0003_iter0150,v2.5_gradient_patched_73_run0003_iter0150,169015519477760.0,166585356517376.0,2430162960384.0,446313664.0,355774912.0,90538752.0
2,175,74,v2.5_0111,run0002_iter0175,v2.5_gradient_patched_74_run0002_iter0175,181665909440512.0,188668601958400.0,7002692517888.0,466654976.0,446509312.0,20145664.0
2,175,76,v2.5_1203,run0002_iter0175,v2.5_gradient_patched_76_run0002_iter0175,190237456203776.0,183960176951296.0,6277279252480.0,460845248.0,427864448.0,32980800.0
2,175,73,v2.5_1428,run0002_iter0175,v2.5_gradient_patched_73_run0002_iter0175,182111394856960.0,184164875763712.0,2053480906752.0,469179584.0,430501696.0,38677888.0
3,175,74,v2.5_0111,run0003_iter0175,v2.5_gradient_patched_74_run0003_iter0175,172314222133248.0,150273993474048.0,22040228659200.0,470173248.0,324283776.0,145889472.0
3,175,76,v2.5_1203,run0003_iter0175,v2.5_gradient_patched_76_run0003_iter0175,181757278158848.0,165171808960512.0,16585469198336.0,471755904.0,361473568.0,110282336.0
3,175,73,v2.5_1428,run0003_iter0175,v2.5_gradient_patched_73_run0003_iter0175,169235770769408.0,162628450123776.0,6607320645632.0,446607296.0,354828832.0,91778464.0
2,200,74,v2.5_0111,run0002_iter0200,v2.5_gradient_patched_74_run0002_iter0200,181555297255424.0,189081338249216.0,7526040993792.0,466876224.0,448479648.0,18396576.0
2,200,76,v2.5_1203,run0002_iter0200,v2.5_gradient_patched_76_run0002_iter0200,190282066821120.0,185405030793216.0,4877036027904.0,460790784.0,435477120.0,25313664.0
2,200,73,v2.5_1428,run0002_iter0200,v2.5_gradient_patched_73_run0002_iter0200,182023415136256.0,184632574214144.0,2609159077888.0,469253024.0,432430688.0,36822336.0
3,200,74,v2.5_0111,run0003_iter0200,v2.5_gradient_patched_74_run0003_iter0200,172380710240256.0,139506846007296.0,32873864232960.0,470876288.0,295474432.0,175401856.0
3,200,76,v2.5_1203,run0003_iter0200,v2.5_gradient_patched_76_run0003_iter0200,181821820108800.0,162431485607936.0,19390334500864.0,471731360.0,347155200.0,124576160.0
3,200,73,v2.5_1428,run0003_iter0200,v2.5_gradient_patched_73_run0003_iter0200,169213389963264.0,154403067658240.0,14810322305024.0,446530176.0,327352992.0,119177184.0
4,0,74,v2.5_0111,run0004_iter0000,v2.5_gradient_patched_74_run0004_iter0000,174950526746624.0,138999368777728.0,35951157968896.0,377417280.0,227448736.0,149968544.0
4,0,76,v2.5_1203,run0004_iter0000,v2.5_gradient_patched_76_run0004_iter0000,173693745496064.0,137939501711360.0,35754243784704.0,385971808.0,226008480.0,159963328.0
4,0,73,v2.5_1428,run0004_iter0000,v2.5_gradient_patched_73_run0004_iter0000,171619947380736.0,136770809233408.0,34849138147328.0,371373600.0,219255408.0,152118192.0
5,0,74,v2.5_0111,run0005_iter0000,v2.5_gradient_patched_74_run0005_iter0000,172791450042368.0,159777028046848.0,13014421995520.0,414034048.0,324939616.0,89094432.0
5,0,76,v2.5_1203,run0005_iter0000,v2.5_gradient_patched_76_run0005_iter0000,178415206400000.0,157867931860992.0,20547274539008.0,427969824.0,317502880.0,110466944.0
5,0,73,v2.5_1428,run0005_iter0000,v2.5_gradient_patched_73_run0005_iter0000,174976531431424.0,156674383937536.0,18302147493888.0,414411008.0,311810208.0,102600800.0
4,25,74,v2.5_0111,run0004_iter0025,v2.5_gradient_patched_74_run0004_iter0025,176442675560448.0,149256404992000.0,27186270568448.0,451527136.0,318616256.0,132910880.0
4,25,76,v2.5_1203,run0004_iter0025,v2.5_gradient_patched_76_run0004_iter0025,185881268846592.0,150801989238784.0,35079279607808.0,471678880.0,326096416.0,145582464.0
4,25,73,v2.5_1428,run0004_iter0025,v2.5_gradient_patched_73_run0004_iter0025,176085958393856.0,144087546068992.0,31998412324864.0,450591072.0,299330496.0,151260576.0
5,25,74,v2.5_0111,run0005_iter0025,v2.5_gradient_patched_74_run0005_iter0025,171286215000064.0,172876745408512.0,1590530408448.0,441249216.0,387332832.0,53916384.0
5,25,76,v2.5_1203,run0005_iter0025,v2.5_gradient_patched_76_run0005_iter0025,188728513396736.0,174899758891008.0,13828754505728.0,478667360.0,382253088.0,96414272.0
5,25,73,v2.5_1428,run0005_iter0025,v2.5_gradient_patched_73_run0005_iter0025,177566681923584.0,180103665418240.0,2536983494656.0,457971968.0,406886144.0,51085824.0
4,50,74,v2.5_0111,run0004_iter0050,v2.5_gradient_patched_74_run0004_iter0050,173630092738560.0,169047060643840.0,4583032094720.0,465745120.0,367181728.0,98563392.0
4,50,76,v2.5_1203,run0004_iter0050,v2.5_gradient_patched_76_run0004_iter0050,183917915144192.0,172453707907072.0,11464207237120.0,471584128.0,370290816.0,101293312.0
4,50,73,v2.5_1428,run0004_iter0050,v2.5_gradient_patched_73_run0004_iter0050,171717708218368.0,169263990046720.0,2453718171648.0,457637280.0,363053760.0,94583520.0
5,50,74,v2.5_0111,run0005_iter0050,v2.5_gradient_patched_74_run0005_iter0050,167751339474944.0,172589217480704.0,4837878005760.0,444380544.0,369240768.0,75139776.0
5,50,76,v2.5_1203,run0005_iter0050,v2.5_gradient_patched_76_run0005_iter0050,187661079805952.0,170159708831744.0,17501370974208.0,480731136.0,359663104.0,121068032.0
5,50,73,v2.5_1428,run0005_iter0050,v2.5_gradient_patched_73_run0005_iter0050,174827264540672.0,169490415353856.0,5336849186816.0,462230112.0,358280704.0,103949408.0
4,75,74,v2.5_0111,run0004_iter0075,v2.5_gradient_patched_74_run0004_iter0075,173260591333376.0,171261653155840.0,1998938177536.0,471428416.0,379793888.0,91634528.0
4,75,76,v2.5_1203,run0004_iter0075,v2.5_gradient_patched_76_run0004_iter0075,183544739528704.0,175522780807168.0,8021958721536.0,471402656.0,385882400.0,85520256.0
4,75,73,v2.5_1428,run0004_iter0075,v2.5_gradient_patched_73_run0004_iter0075,171084502532096.0,173054600675328.0,1970098143232.0,462509472.0,375150176.0,87359296.0
5,75,74,v2.5_0111,run0005_iter0075,v2.5_gradient_patched_74_run0005_iter0075,166434294464512.0,168410298187776.0,1976003723264.0,447022944.0,356572800.0,90450144.0
5,75,76,v2.5_1203,run0005_iter0075,v2.5_gradient_patched_76_run0005_iter0075,187245441056768.0,164541539287040.0,22703901769728.0,481031232.0,340478848.0,140552384.0
5,75,73,v2.5_1428,run0005_iter0075,v2.5_gradient_patched_73_run0005_iter0075,173587981926400.0,165129580707840.0,8458401218560.0,462437280.0,341504064.0,120933216.0
4,100,74,v2.5_0111,run0004_iter0100,v2.5_gradient_patched_74_run0004_iter0100,172944827351040.0,181151369003008.0,8206541651968.0,473732800.0,419162816.0,54569984.0
4,100,76,v2.5_1203,run0004_iter0100,v2.5_gradient_patched_76_run0004_iter0100,183247111716864.0,182844676636672.0,402435080192.0,470777920.0,416573280.0,54204640.0
